country_i,country_j,part2gr_i,part2gr_j,part6gr_i,part6gr_j,d_subtypes,d_flights,d_T,d_RH,season_sync
Bulgaria,Kazakhstan,0,1,0,1,33.9871888198923,,7.5408859107618,2.42048056783223,A_synchronized
Bulgaria,Lao People's Democratic Republic,0,1,0,1,30.353841965674,,21.8684805264126,3.85579995785915,B_partially
Bulgaria,Latvia,0,0,0,0,23.6744996568859,,7.77745453218108,9.9990202936057,A_synchronized
Bulgaria,Lithuania,0,0,0,0,25.6369615079913,,8.21242157319676,12.5880858453635,A_synchronized
Bulgaria,Luxembourg,0,0,0,0,18.0815447915925,,1.46388641694676,8.97440786684788,A_synchronized
Bulgaria,Madagascar,0,1,0,1,37.7428306049774,,19.7341303717896,0.0320009599459468,B_partially
Bulgaria,Mexico,0,1,0,3,38.6874866635202,,20.8715194464959,13.7637300907697,B_partially
Bulgaria,Mongolia,0,1,0,4,37.3626944973771,,11.8620492587437,3.38026876772679,A_synchronized
Bulgaria,Netherlands (Kingdom of the),0,0,0,0,19.1163791137769,,1.27807939023251,6.56444940930602,A_synchronized
Bulgaria,New Zealand,0,1,0,1,38.7856702221152,,5.71838416473759,0.972385237254997,C_opposite
Bulgaria,Nicaragua,0,1,0,3,49.3369825287096,,21.9257925381313,8.28574685727321,B_partially
Bulgaria,Norway,0,0,0,0,21.1900240375134,,5.8824350009312,11.4480406793479,A_synchronized
Bulgaria,Oman,0,1,0,1,27.2075965122205,,23.4123943356005,21.2391001114837,B_partially
Bulgaria,Paraguay,0,1,0,1,42.1271237053906,,13.2091868937535,6.33810094353929,C_opposite
Bulgaria,Peru,0,1,0,1,28.2611022448815,,15.9222572738833,4.36372339542035,B_partially
Bulgaria,Philippines,0,1,0,1,31.7927885892878,,21.2665404427521,2.72051779626378,B_partially
Bulgaria,Portugal,0,0,0,0,17.8669480924016,,5.8746326967136,2.14089857565808,A_synchronized
Bulgaria,Qatar,0,1,0,5,50.6206058295032,,22.7547415127408,22.9386742559548,B_partially
Bulgaria,Republic of Korea,0,1,0,4,29.5832344660206,,5.69469030622821,20.3497328592252,A_synchronized
Bulgaria,Romania,0,0,0,0,14.9473553689347,,4.04113619920616,4.64912287058196,A_synchronized
Bulgaria,Russian Federation,0,0,0,0,26.112815257622,,12.9055689079016,10.0641104153841,A_synchronized
Bulgaria,Senegal,0,1,0,1,38.5782086141907,,18.4687136911077,6.54683871643049,B_partially
Bulgaria,Serbia,0,0,0,0,19.1064596080727,,2.1887094149937,0.305172637355696,A_synchronized
Bulgaria,Singapore,0,1,0,1,30.419809311323,,21.2981680264126,5.12467642153538,B_partially
Bulgaria,Slovakia,0,0,0,0,22.5395451193353,,3.11272064546239,3.3476531061057,A_synchronized
Bulgaria,Slovenia,0,0,0,0,23.1293934952061,,0.558124698196764,4.96464224184788,A_synchronized
Bulgaria,South Africa,0,1,0,1,34.8497188433473,,14.7220324522528,23.7642655666516,C_opposite
Bulgaria,Spain,0,0,0,0,17.2410131548069,,5.61638247919564,5.88732867241271,A_synchronized
Bulgaria,Sri Lanka,0,1,0,1,28.6319189921432,,20.9996450771939,5.14045400942601,B_partially
Bulgaria,Sweden,0,0,0,0,21.4262530544992,,5.5654863333711,9.09836129084549,A_synchronized
Bulgaria,Switzerland,0,0,0,0,17.7787593245941,,0.597080523013233,2.88152551680781,A_synchronized
